vonalId;sorszam;geoid
117;18;720456
117;19;720825
117;20;716892
117;21;720684
117;22;716931
120;1;3054635
120;2;3054637
120;3;3045958
120;4;3045973
120;5;3045969
120;6;3053400
120;7;3048628
120;8;3048629
120;9;3052044
120;10;3048185
120;11;3046081
120;12;3045073
120;13;3044152
120;14;3044566
120;15;3047668
120;16;3044148
120;17;3053072
120;18;3044150
120;19;3044159
120;20;714420
120;21;713930
120;22;715122
120;23;715568
120;24;714850
120;25;714701
120;26;716264
120;27;719109
120;28;721546
120;29;717633
120;30;717233
120;31;720363
120;32;721839
120;33;717668
120;34;717484
120;35;722435
120;36;715612
120;37;719125
120;38;716716
120;39;722600
120;40;722838
121;1;722435
121;2;715612
121;3;719125
121;4;722589
121;5;717740
121;6;717942
121;7;717654
121;8;714147
121;9;722394
121;10;717660
121;11;721860
121;12;717243
121;13;717241
121;14;717938
121;15;722848
121;16;717895
121;17;718722
121;18;718717
121;19;721408
121;20;715072
121;21;714418
125;1;717633
125;2;716293
125;3;720240
125;4;715458
125;5;715765
125;6;721883
125;7;717160
125;8;718805
125;9;719008
125;10;717129
125;11;720269
125;12;716258
125;13;716731
125;14;716730
125;15;722162
125;16;719389
125;17;714545
125;18;717377
125;19;722878
125;20;716379
125;21;717660
125a;1;717660
125a;2;722390
125a;3;714618
125a;4;722475
126;1;718805
126;2;718612
127;1;720363
127;2;718483
127;3;721403
127;4;719116
127;5;718527
127;6;715421
127;7;714072
127;8;718468
127;9;721362
127;10;718636
127;11;718519
127;12;718524
128;1;722435
128;2;722287
128;3;720325
128;4;720318
128;5;716121
128;6;715881
128;7;718475
128;8;717719
128;9;715885
128;10;716851
128;11;714072
128;12;715421
128;13;720678
128;14;720677
128;15;722277
128;16;715297
128;17;719853
128;18;714338
128;19;716299
130;1;715122
130;2;715568
130;3;714850
130;4;714701
130;5;714347
130;6;719226
130;7;722732
130;8;717789
130;9;714773
130;10;719916
130;11;718327
130;12;718310
130;13;718311
130;14;717075
130;15;719690
130;16;718750
130;17;720052
130;18;715336
130;19;722338
130;20;715414
130;21;718536
130;22;717590
130;23;717792
130;24;719964
130;25;719961
130;26;719963
130;27;719325
130;28;720441
130;29;715268
130;30;720636
130;31;720777
130;32;717897
130;33;717896
130;34;717895
135;1;715425
135;2;715426
135;3;722679
135;4;722963
135;5;718590
135;6;718935
135;7;719964
135;8;719961
135;9;3045946
135;10;718264
135;11;715706
135;12;715392
135;13;719518
135;14;716730
135;15;721557
135;16;714885
135;17;720702
135;18;722435
140;1;3054535
140;2;3047300
140;3;3047650
140;4;3052982
140;5;3050479
140;6;3050427
140;7;3050428
140;8;3043110
140;9;3049103
140;10;3049884
140;11;3045397
140;12;3046383
140;13;3054286
140;14;3049710
140;15;3050661
140;16;722674
140;17;716697
140;18;714035
140;19;715447
140;20;719673
140;21;718905
140;22;715425
142;1;3054634
142;2;3049643
142;3;3049794
142;4;3046437
142;5;3052095
142;6;3047202
142;7;3051131
142;8;3053834
142;9;3052012
142;10;3051497
142;11;3046910
142;12;3044210
142;13;3052847
142;14;3049000
142;15;3049665
142;16;3052810
142;17;3048173
142;18;3056125
142;19;3047609
142;20;3051490
142;21;3055163
142;22;3043319
142;23;3048046
142;24;3050430
142;25;3050427
145;1;715122
145;2;716384
145;3;714569
145;4;714693
145;5;714758
145;6;716868
145;7;714471
145;8;714753
145;9;719208
145;10;718227
145;11;3055843
